I,J,X,Y,Zmin,Zbank,slope1,int1,slope2,int2
6,7,6000.000000,7500.000000,94.000000,94.000000,-1.000000,0.000000,1.000000,0.000000
6,8,6000.000000,8500.000000,94.000000,94.000000,-1.000000,0.000000,1.000000,0.000000
6,9,6000.000000,9500.000000,94.000000,94.000000,-1.000000,0.000000,1.000000,0.000000
7,0,7000.000000,500.000000,93.000000,93.000000,-1.000000,0.000000,1.000000,0.000000
7,1,7000.000000,1500.000000,93.000000,93.000000,-1.000000,0.000000,1.000000,0.000000
7,2,7000.000000,2500.000000,93.000000,93.000000,-1.000000,0.000000,1.000000,0.000000
7,3,7000.000000,3500.000000,93.000000,93.000000,-1.000000,0.000000,1.000000,0.000000
7,4,7000.000000,4500.000000,93.000000,93.000000,-1.000000,0.000000,1.000000,0.000000
7,5,7000.000000,5500.000000,93.000000,93.000000,-1.000000,0.000000,1.000000,0.000000
7,6,7000.000000,6500.000000,93.000000,93.000000,-1.000000,0.000000,1.000000,0.000000
7,7,7000.000000,7500.000000,93.000000,93.000000,-1.000000,0.000000,1.000000,0.000000
7,8,7000.000000,8500.000000,93.000000,93.000000,-1.000000,0.000000,1.000000,0.000000
7,9,7000.000000,9500.000000,93.000000,93.000000,-1.000000,0.000000,1.000000,0.000000
8,0,8000.000000,500.000000,92.000000,92.000000,-1.000000,0.000000,1.000000,0.000000
8,1,8000.000000,1500.000000,92.000000,92.000000,-1.000000,0.000000,1.000000,0.000000
8,2,8000.000000,2500.000000,92.000000,92.000000,-1.000000,0.000000,1.000000,0.000000
8,3,8000.000000,3500.000000,92.000000,92.000000,-1.000000,0.000000,1.000000,0.000000
8,4,8000.000000,4500.000000,92.000000,92.000000,-1.000000,0.000000,1.000000,0.000000
8,5,8000.000000,5500.000000,92.000000,92.000000,-1.000000,0.000000,1.000000,0.000000
8,6,8000.000000,6500.000000,92.000000,92.000000,-1.000000,0.000000,1.000000,0.000000
8,7,8000.000000,7500.000000,92.000000,92.000000,-1.000000,0.000000,1.000000,0.000000
8,8,8000.000000,8500.000000,92.000000,92.000000,-1.000000,0.000000,1.000000,0.000000
8,9,8000.000000,9500.000000,92.000000,92.000000,-1.000000,0.000000,1.000000,0.000000
9,0,9000.000000,500.000000,91.000000,91.000000,-1.000000,0.000000,1.000000,0.000000
9,1,9000.000000,1500.000000,91.000000,91.000000,-1.000000,0.000000,1.000000,0.000000
9,2,9000.000000,2500.000000,91.000000,91.000000,-1.000000,0.000000,1.000000,0.000000
9,3,9000.000000,3500.000000,91.000000,91.000000,-1.000000,0.000000,1.000000,0.000000
9,4,9000.000000,4500.000000,91.000000,91.000000,-1.000000,0.000000,1.000000,0.000000
9,5,9000.000000,5500.000000,91.000000,91.000000,-1.000000,0.000000,1.000000,0.000000
9,6,9000.000000,6500.000000,91.000000,91.000000,-1.000000,0.000000,1.000000,0.000000
9,7,9000.000000,7500.000000,91.000000,91.000000,-1.000000,0.000000,1.000000,0.000000
9,8,9000.000000,8500.000000,91.000000,91.000000,-1.000000,0.000000,1.000000,0.000000
9,9,9000.000000,9500.000000,91.000000,91.000000,-1.000000,0.000000,1.000000,0.000000
10,0,10000.000000,500.000000,90.000000,90.000000,-1.000000,0.000000,1.000000,0.000000
10,1,10000.000000,1500.000000,90.000000,90.000000,-1.000000,0.000000,1.000000,0.000000
10,2,10000.000000,2500.000000,90.000000,90.000000,-1.000000,0.000000,1.000000,0.000000
10,3,10000.000000,3500.000000,90.000000,90.000000,-1.000000,0.000000,1.000000,0.000000
10,4,10000.000000,4500.000000,90.000000,90.000000,-1.000000,0.000000,1.000000,0.000000
10,5,10000.000000,5500.000000,90.000000,90.000000,-1.000000,0.000000,1.000000,0.000000
10,6,10000.000000,6500.000000,90.000000,90.000000,-1.000000,0.000000,1.000000,0.000000
10,7,10000.000000,7500.000000,90.000000,90.000000,-1.000000,0.000000,1.000000,0.000000
10,8,10000.000000,8500.000000,90.000000,90.000000,-1.000000,0.000000,1.000000,0.000000
10,9,10000.000000,9500.000000,90.000000,90.000000,-1.000000,0.000000,1.000000,0.000000
11,0,11000.000000,500.000000,89.000000,89.000000,-1.000000,0.000000,1.000000,0.000000
11,1,11000.000000,1500.000000,89.000000,89.000000,-1.000000,0.000000,1.000000,0.000000
11,2,11000.000000,2500.000000,89.000000,89.000000,-1.000000,0.000000,1.000000,0.000000
11,3,11000.000000,3500.000000,89.000000,89.000000,-1.000000,0.000000,1.000000,0.000000
11,4,11000.000000,4500.000000,89.000000,89.000000,-1.000000,0.000000,1.000000,0.000000
11,5,11000.000000,5500.000000,89.000000,89.000000,-1.000000,0.000000,1.000000,0.000000
11,6,11000.000000,6500.000000,89.000000,89.000000,-1.000000,0.000000,1.000000,0.000000
11,7,11000.000000,7500.000000,89.000000,89.000000,-1.000000,0.000000,1.000000,0.000000
11,8,11000.000000,8500.000000,89.000000,89.000000,-1.000000,0.000000,1.000000,0.000000
11,9,11000.000000,9500.000000,89.000000,89.000000,-1.000000,0.000000,1.000000,0.000000
12,0,12000.000000,500.000000,88.000000,88.000000,-1.000000,0.000000,1.000000,0.000000
12,1,12000.000000,1500.000000,88.000000,88.000000,-1.000000,0.000000,1.000000,0.000000
12,2,12000.000000,2500.000000,88.000000,88.000000,-1.000000,0.000000,1.000000,0.000000
12,3,12000.000000,3500.000000,88.000000,88.000000,-1.000000,0.000000,1.000000,0.000000
12,4,12000.000000,4500.000000,88.000000,88.000000,-1.000000,0.000000,1.000000,0.000000
12,5,12000.000000,5500.000000,88.000000,88.000000,-1.000000,0.000000,1.000000,0.000000
12,6,12000.000000,6500.000000,88.000000,88.000000,-1.000000,0.000000,1.000000,0.000000
12,7,12000.000000,7500.000000,88.000000,88.000000,-1.000000,0.000000,1.000000,0.000000
12,8,12000.000000,8500.000000,88.000000,88.000000,-1.000000,0.000000,1.000000,0.000000
12,9,12000.000000,9500.000000,88.000000,88.000000,-1.000000,0.000000,1.000000,0.000000
13,0,13000.000000,500.000000,87.000000,87.000000,-1.000000,0.000000,1.000000,0.000000
13,1,13000.000000,1500.000000,87.000000,87.000000,-1.000000,0.000000,1.000000,0.000000
13,2,13000.000000,2500.000000,87.000000,87.000000,-1.000000,0.000000,1.000000,0.000000
13,3,13000.000000,3500.000000,87.000000,87.000000,-1.000000,0.000000,1.000000,0.000000
13,4,13000.000000,4500.000000,87.000000,87.000000,-1.000000,0.000000,1.000000,0.000000
13,5,13000.000000,5500.000000,87.000000,87.000000,-1.000000,0.000000,1.000000,0.000000
13,6,13000.000000,6500.000000,87.000000,87.000000,-1.000000,0.000000,1.000000,0.000000
13,7,13000.000000,7500.000000,87.000000,87.000000,-1.000000,0.000000,1.000000,0.000000
13,8,13000.000000,8500.000000,87.000000,87.000000,-1.000000,0.000000,1.000000,0.000000
13,9,13000.000000,9500.000000,87.000000,87.000000,-1.000000,0.000000,1.000000,0.000000
14,0,14000.000000,500.000000,86.000000,86.000000,-1.000000,0.000000,1.000000,0.000000
14,1,14000.000000,1500.000000,86.000000,86.000000,-1.000000,0.000000,1.000000,0.000000
14,2,14000.000000,2500.000000,86.000000,86.000000,-1.000000,0.000000,1.000000,0.000000
14,3,14000.000000,3500.000000,86.000000,86.000000,-1.000000,0.000000,1.000000,0.000000
14,4,14000.000000,4500.000000,86.000000,86.000000,-1.000000,0.000000,1.000000,0.000000
14,5,14000.000000,5500.000000,86.000000,86.000000,-1.000000,0.000000,1.000000,0.000000
14,6,14000.000000,6500.000000,86.000000,86.000000,-1.000000,0.000000,1.000000,0.000000
14,7,14000.000000,7500.000000,86.000000,86.000000,-1.000000,0.000000,1.000000,0.000000
14,8,14000.000000,8500.000000,86.000000,86.000000,-1.000000,0.000000,1.000000,0.000000
14,9,14000.000000,9500.000000,86.000000,86.000000,-1.000000,0.000000,1.000000,0.000000
15,0,15000.000000,500.000000,85.000000,85.000000,-1.000000,0.000000,1.000000,0.000000
15,1,15000.000000,1500.000000,85.000000,85.000000,-1.000000,0.000000,1.000000,0.000000
