I,J,X,Y,zMin,zMax,vip1,vip2,vip3
6,8,6500.000000,8500.000000,93.000000,98.000000,0.500000,4.499999,4.499999
6,9,6500.000000,9500.000000,93.000000,98.000000,0.500000,4.499999,4.499999
7,0,7500.000000,500.000000,92.000000,97.000000,0.500000,4.499999,4.499999
7,1,7500.000000,1500.000000,92.000000,97.000000,0.500000,4.499999,4.499999
7,2,7500.000000,2500.000000,92.000000,97.000000,0.500000,4.499999,4.499999
7,3,7500.000000,3500.000000,92.000000,97.000000,0.500000,4.499999,4.499999
7,4,7500.000000,4500.000000,92.000000,97.000000,0.500000,4.499999,4.499999
7,5,7500.000000,5500.000000,92.000000,97.000000,0.500000,4.499999,4.499999
7,6,7500.000000,6500.000000,92.000000,97.000000,0.500000,4.499999,4.499999
7,7,7500.000000,7500.000000,92.000000,97.000000,0.500000,4.499999,4.499999
7,8,7500.000000,8500.000000,92.000000,97.000000,0.500000,4.499999,4.499999
7,9,7500.000000,9500.000000,92.000000,97.000000,0.500000,4.499999,4.499999
8,0,8500.000000,500.000000,91.000000,96.000000,0.500000,4.499999,4.499999
8,1,8500.000000,1500.000000,91.000000,96.000000,0.500000,4.499999,4.499999
8,2,8500.000000,2500.000000,91.000000,96.000000,0.500000,4.499999,4.499999
8,3,8500.000000,3500.000000,91.000000,96.000000,0.500000,4.499999,4.499999
8,4,8500.000000,4500.000000,91.000000,96.000000,0.500000,4.499999,4.499999
8,5,8500.000000,5500.000000,91.000000,96.000000,0.500000,4.499999,4.499999
8,6,8500.000000,6500.000000,91.000000,96.000000,0.500000,4.499999,4.499999
8,7,8500.000000,7500.000000,91.000000,96.000000,0.500000,4.499999,4.499999
8,8,8500.000000,8500.000000,91.000000,96.000000,0.500000,4.499999,4.499999
8,9,8500.000000,9500.000000,91.000000,96.000000,0.500000,4.499999,4.499999
9,0,9500.000000,500.000000,90.000000,95.000000,0.500000,4.499999,4.499999
9,1,9500.000000,1500.000000,90.000000,95.000000,0.500000,4.499999,4.499999
9,2,9500.000000,2500.000000,90.000000,95.000000,0.500000,4.499999,4.499999
9,3,9500.000000,3500.000000,90.000000,95.000000,0.500000,4.499999,4.499999
9,4,9500.000000,4500.000000,90.000000,95.000000,0.500000,4.499999,4.499999
9,5,9500.000000,5500.000000,90.000000,95.000000,0.500000,4.499999,4.499999
9,6,9500.000000,6500.000000,90.000000,95.000000,0.500000,4.499999,4.499999
9,7,9500.000000,7500.000000,90.000000,95.000000,0.500000,4.499999,4.499999
9,8,9500.000000,8500.000000,90.000000,95.000000,0.500000,4.499999,4.499999
9,9,9500.000000,9500.000000,90.000000,95.000000,0.500000,4.499999,4.499999
10,0,10500.000000,500.000000,89.000000,94.000000,0.500000,4.499999,4.499999
10,1,10500.000000,1500.000000,89.000000,94.000000,0.500000,4.499999,4.499999
10,2,10500.000000,2500.000000,89.000000,94.000000,0.500000,4.499999,4.499999
10,3,10500.000000,3500.000000,89.000000,94.000000,0.500000,4.499999,4.499999
10,4,10500.000000,4500.000000,89.000000,94.000000,0.500000,4.499999,4.499999
10,5,10500.000000,5500.000000,89.000000,94.000000,0.500000,4.499999,4.499999
10,6,10500.000000,6500.000000,89.000000,94.000000,0.500000,4.499999,4.499999
10,7,10500.000000,7500.000000,89.000000,94.000000,0.500000,4.499999,4.499999
10,8,10500.000000,8500.000000,89.000000,94.000000,0.500000,4.499999,4.499999
10,9,10500.000000,9500.000000,89.000000,94.000000,0.500000,4.499999,4.499999
11,0,11500.000000,500.000000,88.000000,93.000000,0.500000,4.499999,4.499999
11,1,11500.000000,1500.000000,88.000000,93.000000,0.500000,4.499999,4.499999
11,2,11500.000000,2500.000000,88.000000,93.000000,0.500000,4.499999,4.499999
11,3,11500.000000,3500.000000,88.000000,93.000000,0.500000,4.499999,4.499999
11,4,11500.000000,4500.000000,88.000000,93.000000,0.500000,4.499999,4.499999
11,5,11500.000000,5500.000000,88.000000,93.000000,0.500000,4.499999,4.499999
11,6,11500.000000,6500.000000,88.000000,93.000000,0.500000,4.499999,4.499999
11,7,11500.000000,7500.000000,88.000000,93.000000,0.500000,4.499999,4.499999
11,8,11500.000000,8500.000000,88.000000,93.000000,0.500000,4.499999,4.499999
11,9,11500.000000,9500.000000,88.000000,93.000000,0.500000,4.499999,4.499999
12,0,12500.000000,500.000000,87.000000,92.000000,0.500000,4.499999,4.499999
12,1,12500.000000,1500.000000,87.000000,92.000000,0.500000,4.499999,4.499999
12,2,12500.000000,2500.000000,87.000000,92.000000,0.500000,4.499999,4.499999
12,3,12500.000000,3500.000000,87.000000,92.000000,0.500000,4.499999,4.499999
12,4,12500.000000,4500.000000,87.000000,92.000000,0.500000,4.499999,4.499999
12,5,12500.000000,5500.000000,87.000000,92.000000,0.500000,4.499999,4.499999
12,6,12500.000000,6500.000000,87.000000,92.000000,0.500000,4.499999,4.499999
12,7,12500.000000,7500.000000,87.000000,92.000000,0.500000,4.499999,4.499999
12,8,12500.000000,8500.000000,87.000000,92.000000,0.500000,4.499999,4.499999
12,9,12500.000000,9500.000000,87.000000,92.000000,0.500000,4.499999,4.499999
13,0,13500.000000,500.000000,86.000000,91.000000,0.500000,4.499999,4.499999
13,1,13500.000000,1500.000000,86.000000,91.000000,0.500000,4.499999,4.499999
13,2,13500.000000,2500.000000,86.000000,91.000000,0.500000,4.499999,4.499999
13,3,13500.000000,3500.000000,86.000000,91.000000,0.500000,4.499999,4.499999
13,4,13500.000000,4500.000000,86.000000,91.000000,0.500000,4.499999,4.499999
13,5,13500.000000,5500.000000,86.000000,91.000000,0.500000,4.499999,4.499999
13,6,13500.000000,6500.000000,86.000000,91.000000,0.500000,4.499999,4.499999
13,7,13500.000000,7500.000000,86.000000,91.000000,0.500000,4.499999,4.499999
13,8,13500.000000,8500.000000,86.000000,91.000000,0.500000,4.499999,4.499999
13,9,13500.000000,9500.000000,86.000000,91.000000,0.500000,4.499999,4.499999
14,0,14500.000000,500.000000,85.000000,90.000000,0.500000,4.499999,4.499999
14,1,14500.000000,1500.000000,85.000000,90.000000,0.500000,4.499999,4.499999
14,2,14500.000000,2500.000000,85.000000,90.000000,0.500000,4.499999,4.499999
14,3,14500.000000,3500.000000,85.000000,90.000000,0.500000,4.499999,4.499999
14,4,14500.000000,4500.000000,85.000000,90.000000,0.500000,4.499999,4.499999
14,5,14500.000000,5500.000000,85.000000,90.000000,0.500000,4.499999,4.499999
14,6,14500.000000,6500.000000,85.000000,90.000000,0.500000,4.499999,4.499999
14,7,14500.000000,7500.000000,85.000000,90.000000,0.500000,4.499999,4.499999
14,8,14500.000000,8500.000000,85.000000,90.000000,0.500000,4.499999,4.499999
14,9,14500.000000,9500.000000,85.000000,90.000000,0.500000,4.499999,4.499999
15,0,15500.000000,500.000000,84.000000,89.000000,0.500000,4.499999,4.499999
15,1,15500.000000,1500.000000,84.000000,89.000000,0.500000,4.499999,4.499999
15,2,15500.000000,2500.000000,84.000000,89.000000,0.500000,4.499999,4.499999
15,3,15500.000000,3500.000000,84.000000,89.000000,0.500000,4.499999,4.499999
15,4,15500.000000,4500.000000,84.000000,89.000000,0.500000,4.499999,4.499999
15,5,15500.000000,5500.000000,84.000000,89.000000,0.500000,4.499999,4.499999
15,6,15500.000000,6500.000000,84.000000,89.000000,0.500000,4.499999,4.499999
15,7,15500.000000,7500.000000,84.000000,89.000000,0.500000,4.499999,4.499999
15,8,15500.000000,8500.000000,84.000000,89.000000,0.500000,4.499999,4.499999
15,9,15500.000000,9500.000000,84.000000,89.000000,0.500000,4.499999,4.499999
16,0,16500.000000,500.000000,83.000000,88.000000,0.500000,4.499999,4.499999
16,1,16500.000000,1500.000000,83.000000,88.000000,0.500000,4.499999,4.499999
16,2,16500.000000,2500.000000,83.000000,88.000000,0.500000,4.499999,4.499999
16,3,16500.000000,3500.000000,83.000000,88.000000,0.500000,4.499999,4.499999
16,4,16500.000000,4500.000000,83.000000,88.000000,0.500000,4.499999,4.499999
16,5,16500.000000,5500.000000,83.000000,88.000000,0.500000,4.499999,4.499999
16,6,16500.000000,6500.000000,83.000000,88.000000,0.500000,4.499999,4.499999
16,7,16500.000000,7500.000000,83.000000,88.000000,0.500000,4.499999,4.499999
16,8,16500.000000,8500.000000,83.000000,88.000000,0.500000,4.499999,4.499999
16,9,16500.000000,9500.000000,83.000000,88.000000,0.500000,4.499999,4.499999
17,0,17500.000000,500.000000,82.000000,87.000000,0.500000,4.499999,4.499999
17,1,17500.000000,1500.000000,82.000000,87.000000,0.500000,4.499999,4.499999
17,2,17500.000000,2500.000000,82.000000,87.000000,0.500000,4.499999,4.499999
17,3,17500.000000,3500.000000,82.000000,87.000000,0.500000,4.499999,4.499999
17,4,17500.000000,4500.000000,82.000000,87.000000,0.500000,4.499999,4.499999
17,5,17500.000000,5500.000000,82.000000,87.000000,0.500000,4.499999,4.499999
17,6,17500.000000,6500.000000,82.000000,87.000000,0.500000,4.499999,4.499999
17,7,17500.000000,7500.000000,82.000000,87.000000,0.500000,4.499999,4.499999
17,8,17500.000000,8500.000000,82.000000,87.000000,0.500000,4.499999,4.499999
17,9,17500.000000,9500.000000,82.000000,87.000000,0.500000,4.499999,4.499999
18,0,18500.000000,500.000000,81.000000,86.000000,0.500000,4.499999,4.499999
18,1,18500.000000,1500.000000,81.000000,86.000000,0.500000,4.499999,4.499999
18,2,18500.000000,2500.000000,81.000000,86.000000,0.500000,4.499999,4.499999
18,3,18500.000000,3500.000000,81.000000,86.000000,0.500000,4.499999,4.499999
18,4,18500.000000,4500.000000,81.000000,86.000000,0.500000,4.499999,4.499999
18,5,18500.000000,5500.000000,81.000000,86.000000,0.500000,4.499999,4.499999
18,6,18500.000000,6500.000000,81.000000,86.000000,0.500000,4.499999,4.499999
18,7,18500.000000,7500.000000,81.000000,86.000000,0.500000,4.499999,4.499999
18,8,18500.000000,8500.000000,81.000000,86.000000,0.500000,4.499999,4.499999
18,9,18500.000000,9500.000000,81.000000,86.000000,0.500000,4.499999,4.499999
19,0,19500.000000,500.000000,80.000000,85.000000,0.500000,4.499999,4.499999
19,1,19500.000000,1500.000000,80.000000,85.000000,0.500000,4.499999,4.499999
19,2,19500.000000,2500.000000,80.000000,85.000000,0.500000,4.499999,4.499999
19,3,19500.000000,3500.000000,80.000000,85.000000,0.500000,4.499999,4.499999
19,4,19500.000000,4500.000000,80.000000,85.000000,0.500000,4.499999,4.499999
19,5,19500.000000,5500.000000,80.000000,85.000000,0.500000,4.499999,4.499999
19,6,19500.000000,6500.000000,80.000000,85.000000,0.500000,4.499999,4.499999
19,7,19500.000000,7500.000000,80.000000,85.000000,0.500000,4.499999,4.499999
19,8,19500.000000,8500.000000,80.000000,85.000000,0.500000,4.499999,4.499999
19,9,19500.000000,9500.000000,80.000000,85.000000,0.500000,4.499999,4.499999
20,0,20500.000000,500.000000,79.000000,84.000000,0.500000,4.499999,4.499999
20,1,20500.000000,1500.000000,79.000000,84.000000,0.500000,4.499999,4.499999
20,2,20500.000000,2500.000000,79.000000,84.000000,0.500000,4.499999,4.499999
20,3,20500.000000,3500.000000,79.000000,84.000000,0.500000,4.499999,4.499999
20,4,20500.000000,4500.000000,79.000000,84.000000,0.500000,4.499999,4.499999
20,5,20500.000000,5500.000000,79.000000,84.000000,0.500000,4.499999,4.499999
20,6,20500.000000,6500.000000,79.000000,84.000000,0.500000,4.499999,4.499999
20,7,20500.000000,7500.000000,79.000000,84.000000,0.500000,4.499999,4.499999
20,8,20500.000000,8500.000000,79.000000,84.000000,0.500000,4.499999,4.499999
20,9,20500.000000,9500.000000,79.000000,84.000000,0.500000,4.499999,4.499999
21,0,21500.000000,500.000000,78.000000,83.000000,0.500000,4.499999,4.499999
21,1,21500.000000,1500.000000,78.000000,83.000000,0.500000,4.499999,4.499999
21,2,21500.000000,2500.000000,78.000000,83.000000,0.500000,4.499999,4.499999
21,3,21500.000000,3500.000000,78.000000,83.000000,0.500000,4.499999,4.499999
21,4,21500.000000,4500.000000,78.000000,83.000000,0.500000,4.499999,4.499999
21,5,21500.000000,5500.000000,78.000000,83.000000,0.500000,4.499999,4.499999
21,6,21500.000000,6500.000000,78.000000,83.000000,0.500000,4.499999,4.499999
21,7,21500.000000,7500.000000,78.000000,83.000000,0.500000,4.499999,4.499999
21,8,21500.000000,8500.000000,78.000000,83.000000,0.500000,4.499999,4.499999
21,9,21500.000000,9500.000000,78.000000,83.000000,0.500000,4.499999,4.499999
22,0,22500.000000,500.000000,77.000000,82.000000,0.500000,4.499999,4.499999
22,1,22500.000000,1500.000000,77.000000,82.000000,0.500000,4.499999,4.499999
22,2,22500.000000,2500.000000,77.000000,82.000000,0.500000,4.499999,4.499999
22,3,22500.000000,3500.000000,77.000000,82.000000,0.500000,4.499999,4.499999
22,4,22500.000000,4500.000000,77.000000,82.000000,0.500000,4.499999,4.499999
22,5,22500.000000,5500.000000,77.000000,82.000000,0.500000,4.499999,4.499999
22,6,22500.000000,6500.000000,77.000000,82.000000,0.500000,4.499999,4.499999
22,7,22500.000000,7500.000000,77.000000,82.000000,0.500000,4.499999,4.499999
22,8,22500.000000,8500.000000,77.000000,82.000000,0.500000,4.499999,4.499999
22,9,22500.000000,9500.000000,77.000000,82.000000,0.500000,4.499999,4.499999
23,0,23500.000000,500.000000,76.000000,81.000000,0.500000,4.499999,4.499999
23,1,23500.000000,1500.000000,76.000000,81.000000,0.500000,4.499999,4.499999
23,2,23500.000000,2500.000000,76.000000,81.000000,0.500000,4.499999,4.499999
23,3,23500.000000,3500.000000,76.000000,81.000000,0.500000,4.499999,4.499999
