X,Y,i,j,WL
13500.000000,3500.000000,13,3,86.067017
13500.000000,4500.000000,13,4,86.067017
13500.000000,5500.000000,13,5,86.067017
13500.000000,6500.000000,13,6,86.067017
13500.000000,7500.000000,13,7,86.067017
13500.000000,8500.000000,13,8,86.067017
13500.000000,9500.000000,13,9,86.067017
14500.000000,500.000000,14,0,85.066490
14500.000000,1500.000000,14,1,85.066490
14500.000000,2500.000000,14,2,85.066490
14500.000000,3500.000000,14,3,85.066490
14500.000000,4500.000000,14,4,85.066490
14500.000000,5500.000000,14,5,85.066490
14500.000000,6500.000000,14,6,85.066490
14500.000000,7500.000000,14,7,85.066490
14500.000000,8500.000000,14,8,85.066490
14500.000000,9500.000000,14,9,85.066490
15500.000000,500.000000,15,0,84.065964
15500.000000,1500.000000,15,1,84.065964
15500.000000,2500.000000,15,2,84.065964
15500.000000,3500.000000,15,3,84.065964
15500.000000,4500.000000,15,4,84.065964
15500.000000,5500.000000,15,5,84.065964
15500.000000,6500.000000,15,6,84.065964
15500.000000,7500.000000,15,7,84.065964
15500.000000,8500.000000,15,8,84.065964
15500.000000,9500.000000,15,9,84.065964
16500.000000,500.000000,16,0,83.065437
16500.000000,1500.000000,16,1,83.065437
16500.000000,2500.000000,16,2,83.065437
16500.000000,3500.000000,16,3,83.065437
16500.000000,4500.000000,16,4,83.065437
16500.000000,5500.000000,16,5,83.065437
16500.000000,6500.000000,16,6,83.065437
16500.000000,7500.000000,16,7,83.065437
16500.000000,8500.000000,16,8,83.065437
16500.000000,9500.000000,16,9,83.065437
17500.000000,500.000000,17,0,82.063728
17500.000000,1500.000000,17,1,82.063728
17500.000000,2500.000000,17,2,82.063728
17500.000000,3500.000000,17,3,82.063728
17500.000000,4500.000000,17,4,82.063728
17500.000000,5500.000000,17,5,82.063728
17500.000000,6500.000000,17,6,82.063728
17500.000000,7500.000000,17,7,82.063728
17500.000000,8500.000000,17,8,82.063728
17500.000000,9500.000000,17,9,82.063728
18500.000000,500.000000,18,0,81.059914
18500.000000,1500.000000,18,1,81.059914
18500.000000,2500.000000,18,2,81.059914
18500.000000,3500.000000,18,3,81.059914
18500.000000,4500.000000,18,4,81.059914
18500.000000,5500.000000,18,5,81.059914
18500.000000,6500.000000,18,6,81.059914
18500.000000,7500.000000,18,7,81.059914
18500.000000,8500.000000,18,8,81.059914
18500.000000,9500.000000,18,9,81.059914
19500.000000,500.000000,19,0,80.051628
19500.000000,1500.000000,19,1,80.051628
19500.000000,2500.000000,19,2,80.051628
19500.000000,3500.000000,19,3,80.051628
19500.000000,4500.000000,19,4,80.051628
19500.000000,5500.000000,19,5,80.051628
19500.000000,6500.000000,19,6,80.051628
19500.000000,7500.000000,19,7,80.051628
19500.000000,8500.000000,19,8,80.051628
19500.000000,9500.000000,19,9,80.051628
20500.000000,500.000000,20,0,79.051117
20500.000000,1500.000000,20,1,79.051117
20500.000000,2500.000000,20,2,79.051117
20500.000000,3500.000000,20,3,79.051117
20500.000000,4500.000000,20,4,79.051117
20500.000000,5500.000000,20,5,79.051117
20500.000000,6500.000000,20,6,79.051117
20500.000000,7500.000000,20,7,79.051117
20500.000000,8500.000000,20,8,79.051117
20500.000000,9500.000000,20,9,79.051117
21500.000000,500.000000,21,0,78.050606
21500.000000,1500.000000,21,1,78.050606
21500.000000,2500.000000,21,2,78.050606
21500.000000,3500.000000,21,3,78.050606
21500.000000,4500.000000,21,4,78.050606
21500.000000,5500.000000,21,5,78.050606
21500.000000,6500.000000,21,6,78.050606
21500.000000,7500.000000,21,7,78.050606
21500.000000,8500.000000,21,8,78.050606
21500.000000,9500.000000,21,9,78.050606
22500.000000,500.000000,22,0,77.041405
22500.000000,1500.000000,22,1,77.041405
22500.000000,2500.000000,22,2,77.041405
22500.000000,3500.000000,22,3,77.041405
22500.000000,4500.000000,22,4,77.041405
22500.000000,5500.000000,22,5,77.041405
22500.000000,6500.000000,22,6,77.041405
22500.000000,7500.000000,22,7,77.041405
22500.000000,8500.000000,22,8,77.041405
22500.000000,9500.000000,22,9,77.041405
23500.000000,500.000000,23,0,76.099709
23500.000000,1500.000000,23,1,76.099709
23500.000000,2500.000000,23,2,76.099709
23500.000000,3500.000000,23,3,76.099709
23500.000000,4500.000000,23,4,76.099709
23500.000000,5500.000000,23,5,76.099709
23500.000000,6500.000000,23,6,76.099709
23500.000000,7500.000000,23,7,76.099709
23500.000000,8500.000000,23,8,76.099709
23500.000000,9500.000000,23,9,76.099709
24500.000000,500.000000,24,0,75.099556
24500.000000,1500.000000,24,1,75.099556
24500.000000,2500.000000,24,2,75.099556
24500.000000,3500.000000,24,3,75.099556
24500.000000,4500.000000,24,4,75.099556
24500.000000,5500.000000,24,5,75.099556
24500.000000,6500.000000,24,6,75.099556
24500.000000,7500.000000,24,7,75.099556
24500.000000,8500.000000,24,8,75.099556
24500.000000,9500.000000,24,9,75.099556
25500.000000,500.000000,25,0,74.097809
25500.000000,1500.000000,25,1,74.097809
25500.000000,2500.000000,25,2,74.097809
25500.000000,3500.000000,25,3,74.097809
25500.000000,4500.000000,25,4,74.097809
25500.000000,5500.000000,25,5,74.097809
25500.000000,6500.000000,25,6,74.097809
25500.000000,7500.000000,25,7,74.097809
25500.000000,8500.000000,25,8,74.097809
25500.000000,9500.000000,25,9,74.097809
26500.000000,500.000000,26,0,73.098450
26500.000000,1500.000000,26,1,73.098450
26500.000000,2500.000000,26,2,73.098450
26500.000000,3500.000000,26,3,73.098450
26500.000000,4500.000000,26,4,73.098450
26500.000000,5500.000000,26,5,73.098450
26500.000000,6500.000000,26,6,73.098450
26500.000000,7500.000000,26,7,73.098450
26500.000000,8500.000000,26,8,73.098450
26500.000000,9500.000000,26,9,73.098450
27500.000000,500.000000,27,0,72.099098
27500.000000,1500.000000,27,1,72.099098
27500.000000,2500.000000,27,2,72.099098
27500.000000,3500.000000,27,3,72.099098
27500.000000,4500.000000,27,4,72.099098
27500.000000,5500.000000,27,5,72.099098
27500.000000,6500.000000,27,6,72.099098
27500.000000,7500.000000,27,7,72.099098
27500.000000,8500.000000,27,8,72.099098
27500.000000,9500.000000,27,9,72.099098
28500.000000,500.000000,28,0,71.097542
28500.000000,1500.000000,28,1,71.097542
28500.000000,2500.000000,28,2,71.097542
28500.000000,3500.000000,28,3,71.097542
28500.000000,4500.000000,28,4,71.097542
28500.000000,5500.000000,28,5,71.097542
28500.000000,6500.000000,28,6,71.097542
28500.000000,7500.000000,28,7,71.097542
28500.000000,8500.000000,28,8,71.097542
28500.000000,9500.000000,28,9,71.097542
29500.000000,500.000000,29,0,70.068604
29500.000000,1500.000000,29,1,70.068604
29500.000000,2500.000000,29,2,70.068604
29500.000000,3500.000000,29,3,70.068604
29500.000000,4500.000000,29,4,70.068604
29500.000000,5500.000000,29,5,70.068604
29500.000000,6500.000000,29,6,70.068604
29500.000000,7500.000000,29,7,70.068604
29500.000000,8500.000000,29,8,70.068604
29500.000000,9500.000000,29,9,70.068604
30500.000000,500.000000,30,0,69.066360
30500.000000,1500.000000,30,1,69.066360
30500.000000,2500.000000,30,2,69.066360
30500.000000,3500.000000,30,3,69.066360
30500.000000,4500.000000,30,4,69.066360
30500.000000,5500.000000,30,5,69.066360
30500.000000,6500.000000,30,6,69.066360
30500.000000,7500.000000,30,7,69.066360
30500.000000,8500.000000,30,8,69.066360
30500.000000,9500.000000,30,9,69.066360
31500.000000,500.000000,31,0,68.067253
31500.000000,1500.000000,31,1,68.067253
31500.000000,2500.000000,31,2,68.067253
31500.000000,3500.000000,31,3,68.067253
31500.000000,4500.000000,31,4,68.067253
31500.000000,5500.000000,31,5,68.067253
31500.000000,6500.000000,31,6,68.067253
31500.000000,7500.000000,31,7,68.067253
31500.000000,8500.000000,31,8,68.067253
31500.000000,9500.000000,31,9,68.067253
32500.000000,500.000000,32,0,67.068184
32500.000000,1500.000000,32,1,67.068184
32500.000000,2500.000000,32,2,67.068184
32500.000000,3500.000000,32,3,67.068184
32500.000000,4500.000000,32,4,67.068184
32500.000000,5500.000000,32,5,67.068184
32500.000000,6500.000000,32,6,67.068184
32500.000000,7500.000000,32,7,67.068184
32500.000000,8500.000000,32,8,67.068184
32500.000000,9500.000000,32,9,67.068184
33500.000000,500.000000,33,0,66.069115
33500.000000,1500.000000,33,1,66.069115
33500.000000,2500.000000,33,2,66.069115
33500.000000,3500.000000,33,3,66.069115
33500.000000,4500.000000,33,4,66.069115
33500.000000,5500.000000,33,5,66.069115
33500.000000,6500.000000,33,6,66.069115
33500.000000,7500.000000,33,7,66.069115
33500.000000,8500.000000,33,8,66.069115
33500.000000,9500.000000,33,9,66.069115
34500.000000,500.000000,34,0,65.070084
34500.000000,1500.000000,34,1,65.070084
34500.000000,2500.000000,34,2,65.070084
34500.000000,3500.000000,34,3,65.070084
34500.000000,4500.000000,34,4,65.070084
34500.000000,5500.000000,34,5,65.070084
34500.000000,6500.000000,34,6,65.070084
34500.000000,7500.000000,34,7,65.070084
34500.000000,8500.000000,34,8,65.070084
34500.000000,9500.000000,34,9,65.070084
35500.000000,500.000000,35,0,64.071091
35500.000000,1500.000000,35,1,64.071091
35500.000000,2500.000000,35,2,64.071091
35500.000000,3500.000000,35,3,64.071091
35500.000000,4500.000000,35,4,64.071091
35500.000000,5500.000000,35,5,64.071091
35500.000000,6500.000000,35,6,64.071091
35500.000000,7500.000000,35,7,64.071091
35500.000000,8500.000000,35,8,64.071091
35500.000000,9500.000000,35,9,64.071091
36500.000000,500.000000,36,0,63.072163
36500.000000,1500.000000,36,1,63.072163
36500.000000,2500.000000,36,2,63.072163
36500.000000,3500.000000,36,3,63.072163
36500.000000,4500.000000,36,4,63.072163
36500.000000,5500.000000,36,5,63.072163
36500.000000,6500.000000,36,6,63.072163
36500.000000,7500.000000,36,7,63.072163
36500.000000,8500.000000,36,8,63.072163
36500.000000,9500.000000,36,9,63.072163
37500.000000,500.000000,37,0,62.073326
37500.000000,1500.000000,37,1,62.073326
37500.000000,2500.000000,37,2,62.073326
37500.000000,3500.000000,37,3,62.073326
37500.000000,4500.000000,37,4,62.073326
37500.000000,5500.000000,37,5,62.073326
37500.000000,6500.000000,37,6,62.073326
37500.000000,7500.000000,37,7,62.073326
37500.000000,8500.000000,37,8,62.073326
37500.000000,9500.000000,37,9,62.073326
38500.000000,500.000000,38,0,61.074585
38500.000000,1500.000000,38,1,61.074585
38500.000000,2500.000000,38,2,61.074585
38500.000000,3500.000000,38,3,61.074585
38500.000000,4500.000000,38,4,61.074585
38500.000000,5500.000000,38,5,61.074585
38500.000000,6500.000000,38,6,61.074585
38500.000000,7500.000000,38,7,61.074585
38500.000000,8500.000000,38,8,61.074585
38500.000000,9500.000000,38,9,61.074585
39500.000000,500.000000,39,0,60.075966
39500.000000,1500.000000,39,1,60.075966
39500.000000,2500.000000,39,2,60.075966
39500.000000,3500.000000,39,3,60.075966
39500.000000,4500.000000,39,4,60.075966
39500.000000,5500.000000,39,5,60.075966
39500.000000,6500.000000,39,6,60.075966
39500.000000,7500.000000,39,7,60.075966
39500.000000,8500.000000,39,8,60.075966
39500.000000,9500.000000,39,9,60.075966
40500.000000,500.000000,40,0,59.077484
40500.000000,1500.000000,40,1,59.077484
40500.000000,2500.000000,40,2,59.077484
40500.000000,3500.000000,40,3,59.077484
40500.000000,4500.000000,40,4,59.077484
40500.000000,5500.000000,40,5,59.077484
40500.000000,6500.000000,40,6,59.077484
40500.000000,7500.000000,40,7,59.077484
40500.000000,8500.000000,40,8,59.077484
40500.000000,9500.000000,40,9,59.077484
41500.000000,500.000000,41,0,58.079155
41500.000000,1500.000000,41,1,58.079155
41500.000000,2500.000000,41,2,58.079155
41500.000000,3500.000000,41,3,58.079155
41500.000000,4500.000000,41,4,58.079155
41500.000000,5500.000000,41,5,58.079155
41500.000000,6500.000000,41,6,58.079155
41500.000000,7500.000000,41,7,58.079155
41500.000000,8500.000000,41,8,58.079155
41500.000000,9500.000000,41,9,58.079155
42500.000000,500.000000,42,0,57.080963
42500.000000,1500.000000,42,1,57.080963
42500.000000,2500.000000,42,2,57.080963
42500.000000,3500.000000,42,3,57.080963
42500.000000,4500.000000,42,4,57.080963
42500.000000,5500.000000,42,5,57.080963
42500.000000,6500.000000,42,6,57.080963
42500.000000,7500.000000,42,7,57.080963
42500.000000,8500.000000,42,8,57.080963
42500.000000,9500.000000,42,9,57.080963
43500.000000,500.000000,43,0,56.082867
43500.000000,1500.000000,43,1,56.082867
43500.000000,2500.000000,43,2,56.082867
43500.000000,3500.000000,43,3,56.082867
43500.000000,4500.000000,43,4,56.082867
43500.000000,5500.000000,43,5,56.082867
43500.000000,6500.000000,43,6,56.082867
43500.000000,7500.000000,43,7,56.082867
43500.000000,8500.000000,43,8,56.082867
43500.000000,9500.000000,43,9,56.082867
44500.000000,500.000000,44,0,55.084770
44500.000000,1500.000000,44,1,55.084770
44500.000000,2500.000000,44,2,55.084770
44500.000000,3500.000000,44,3,55.084770
44500.000000,4500.000000,44,4,55.084770
44500.000000,5500.000000,44,5,55.084770
44500.000000,6500.000000,44,6,55.084770
44500.000000,7500.000000,44,7,55.084770
44500.000000,8500.000000,44,8,55.084770
44500.000000,9500.000000,44,9,55.084770
45500.000000,500.000000,45,0,54.086540
45500.000000,1500.000000,45,1,54.086540
45500.000000,2500.000000,45,2,54.086540
45500.000000,3500.000000,45,3,54.086540
45500.000000,4500.000000,45,4,54.086540
45500.000000,5500.000000,45,5,54.086540
45500.000000,6500.000000,45,6,54.086540
45500.000000,7500.000000,45,7,54.086540
45500.000000,8500.000000,45,8,54.086540
45500.000000,9500.000000,45,9,54.086540
46500.000000,500.000000,46,0,53.088013
46500.000000,1500.000000,46,1,53.088013
46500.000000,2500.000000,46,2,53.088013
46500.000000,3500.000000,46,3,53.088013
46500.000000,4500.000000,46,4,53.088013
46500.000000,5500.000000,46,5,53.088013
46500.000000,6500.000000,46,6,53.088013
46500.000000,7500.000000,46,7,53.088013
46500.000000,8500.000000,46,8,53.088013
46500.000000,9500.000000,46,9,53.088013
47500.000000,500.000000,47,0,52.089012
47500.000000,1500.000000,47,1,52.089012
47500.000000,2500.000000,47,2,52.089012
47500.000000,3500.000000,47,3,52.089012
47500.000000,4500.000000,47,4,52.089012
47500.000000,5500.000000,47,5,52.089012
47500.000000,6500.000000,47,6,52.089012
47500.000000,7500.000000,47,7,52.089012
47500.000000,8500.000000,47,8,52.089012
47500.000000,9500.000000,47,9,52.089012
48500.000000,500.000000,48,0,51.089394
48500.000000,1500.000000,48,1,51.089394
48500.000000,2500.000000,48,2,51.089394
48500.000000,3500.000000,48,3,51.089394
